id_question,creationDate,score,viewCount,answerCount,commentCount,favoriteCount,tags,id_selected_answer,value
29730819,"2015-04-19 13:57:27",-2,80,2,3,0,<ios><swift>,NULL,0.9229827595413074
28882954,"2015-03-05 16:35:09",0,376,1,0,0,<swift><nsurl><nsurlrequest>,28883065,0.9228847787625348
31622771,"2015-07-25 04:00:42",-2,85,1,1,0,<iphone><swift><optional>,NULL,0.9228847787625348
24948302,"2014-07-25 04:51:53",2,7981,4,2,0,<ios><swift>,24948363,0.9086496584710454
29487926,"2015-04-07 09:13:35",1,153,1,1,0,<ios><swift><fatal-error>,29488085,0.8990279600580514
28647816,"2015-02-21 16:04:11",0,151,1,1,0,<swift><ios8>,28912415,0.8904822286338522
26736944,"2014-11-04 13:56:22",0,481,3,0,1,<ios><swift><ios8>,26737543,0.8736277499483307
32234375,"2015-08-26 18:45:40",0,24,1,6,0,<swift>,32236927,0.8601592677592594
31223402,"2015-07-04 17:33:42",0,57,1,8,0,<ios><swift><null><xcode6><optional-values>,31223508,0.854490173029532
24053246,"2014-06-05 06:38:25",3,276,5,0,1,<swift><optional>,NULL,0.847895874866491
30500336,"2015-05-28 07:48:20",-1,241,3,3,1,<ios><swift>,30500379,0.8410019412653706
26625254,"2014-10-29 07:58:38",0,152,2,0,0,<swift>,NULL,0.8300316641572657
30952294,"2015-06-20 09:15:16",1,166,1,3,0,<swift>,30952405,0.8237963910443885
25523305,"2014-08-27 09:18:23",5,4882,1,0,3,<swift><boolean><optional>,25523476,0.8177706049692927
25287263,"2014-08-13 13:15:26",0,400,1,3,0,<swift>,NULL,0.8174353817343982
27743774,"2015-01-02 14:32:54",2,119,1,2,0,<ios><swift><optional><forced-unwrapping>,27743996,0.8053058508097816
29055637,"2015-03-14 23:49:31",-1,57,1,2,0,<swift><uiviewcontroller>,NULL,0.8028226506800408
25947782,"2014-09-20 10:27:56",0,456,1,0,0,<swift>,NULL,0.7923355953397081
31774193,"2015-08-02 16:49:31",0,50,2,5,0,<swift>,NULL,0.7923355953397081
26860829,"2014-11-11 08:46:29",0,102,2,2,0,<swift><ios8><optional>,26860891,0.7900121376315711
27370700,"2014-12-09 02:51:13",0,107,2,0,1,<swift><swiftype>,27370841,0.7764588776781894
25484883,"2014-08-25 11:26:52",3,1571,1,1,1,<swift><var><println>,25484973,0.7734338878508807
27556911,"2014-12-18 22:34:13",2,6990,1,2,2,<xcode><osx><swift><input>,27559078,0.7674491202536273
28665375,"2015-02-23 00:46:45",0,157,2,1,0,<swift><optional><forced-unwrapping>,28665576,0.7596972232824554
31350308,"2015-07-10 21:08:19",0,42,1,0,0,<ios><swift><object><core-data><predicate>,NULL,0.7473111661821056
28046614,"2015-01-20 13:31:55",2,67,1,1,0,<swift><optional>,NULL,0.7441873458845988
31143806,"2015-06-30 16:40:37",0,51,1,0,0,<swift><terminology>,31144044,0.7441873458845988
25986585,"2014-09-23 03:53:00",0,408,1,0,0,<ios><xcode><swift>,25986738,0.7433257991441308
25489267,"2014-08-25 15:25:43",1,1716,4,6,0,<swift><apple><optional>,25489623,0.7405136946142981
25394749,"2014-08-19 23:50:26",1,654,1,0,0,<swift>,NULL,0.7334065428028406
27169737,"2014-11-27 11:33:36",1,72,2,1,0,<swift><optional>,NULL,0.7334065428028406
